City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Ponta Do Sol,PT,70.43,few clouds,32.6667,-17.1,Hotel do Campo
25,Muros,ES,70.68,moderate rain,42.7762,-9.0603,Apartment Av. Castelao
57,Niteroi,BR,73.02,few clouds,-22.8833,-43.1036,Hotel Viareggio
84,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
100,Guerrero Negro,MX,72.36,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
117,Vao,NC,74.14,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
123,Carnarvon,AU,71.17,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
126,Tavricheskoye,RU,73.31,scattered clouds,54.5851,73.6395,Prodayotsya Kotedzh
155,Pasighat,IN,71.11,broken clouds,28.0667,95.3333,Siang Guest House
166,Jardim,BR,74.07,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
174,Gushikawa,JP,70.83,clear sky,26.3544,127.8686,Kirari Guest House
175,Arraial Do Cabo,BR,71.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
180,Cap Malheureux,MU,72.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
196,Amuntai,ID,74.12,overcast clouds,-2.4177,115.2494,Hotel Balqis
203,Mawlaik,MM,73.99,overcast clouds,23.6333,94.4167,AKZ Guest House
214,Dok Kham Tai,TH,71.87,overcast clouds,19.1624,99.9934,โรงแรมวีซี ดอกคำใต้ พะเยา
220,Pacific Grove,US,73.35,haze,36.6177,-121.9166,Lovers Point Inn
228,Alofi,NU,73.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
235,Bereda,ES,74.41,light rain,43.2686,-7.5406,Pazo de Verdes
238,Mozzozzin,PH,74.62,broken clouds,17.45,121.75,Josefina's Farms Resorts and Hotel
252,Sri Aman,MY,73.45,light rain,1.2376,111.4621,Seri Simanggang Hotel
254,Mataram,ID,74.21,few clouds,-8.5833,116.1167,Hotel Santika Mataram
265,Gasa,PS,73.89,overcast clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
266,Liku,ID,74.55,overcast clouds,-0.7275,119.8922,Wahyu
269,Zupanja,HR,73.38,overcast clouds,45.0775,18.6975,Apartmani Baotić
276,Aksu,CN,74.88,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
283,Moron,AR,71.29,clear sky,-34.6534,-58.6198,Hotel Morón
289,Impfondo,CG,72.48,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
301,Paragominas,BR,72.36,overcast clouds,-2.9667,-47.4833,INOVA
348,Sao Filipe,CV,72.93,scattered clouds,14.8961,-24.4956,Hotel Xaguate
355,Nueva Italia,PY,70.83,overcast clouds,-25.6167,-57.5,Quinta Che Jazmín
360,Cangas,ES,72.75,light rain,42.2641,-8.7846,Airiños
365,Santa Isabel Do Rio Negro,BR,74.82,overcast clouds,-0.4139,-65.0192,Hotel GSA
386,Tura,IN,71.33,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
409,Nishihara,JP,70.88,clear sky,26.1842,127.7558,Minshuku Agaihama
425,Toamasina,MG,73.4,broken clouds,-18.1667,49.3833,Hotel H1
451,Popondetta,PG,71.8,scattered clouds,-8.7537,148.2534,Timos Transit House
475,Chamba,IN,70.25,clear sky,32.5667,76.1333,NotOnMap - Rafi's House
499,Paita,PE,71.92,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
508,Payo,ID,74.3,overcast clouds,-3.7508,103.6372,Mess keban agung
516,Jalu,LY,70.99,clear sky,29.0331,21.5482,صاحبة الفخامة
538,Kiunga,PG,71.51,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
539,Mangaratiba,BR,72.46,clear sky,-22.9597,-44.0406,Portobello Resort & Safari
548,Biak,ID,74.86,overcast clouds,-0.9131,122.8766,Penginapan Kim
561,Constantine,DZ,72.81,clear sky,36.365,6.6147,Grand Hotel Cirta
567,Erzin,TR,70.56,clear sky,36.9559,36.2,Artemis Otel
580,Cuamba,MZ,73.33,overcast clouds,-14.8031,36.5372,Hotel Vision
583,Inongo,CD,74.26,overcast clouds,-1.95,18.2667,Hotel Du Lac
589,Palamos,ES,74.98,broken clouds,41.8484,3.1291,Hotel Rosamar
591,Asmar,AF,72.46,clear sky,35.0333,71.3581,COP Monti
606,Bolobo,CD,74.17,light rain,-2.1667,16.2333,Hotel de Stephen
618,Huarmey,PE,70.23,scattered clouds,-10.0681,-78.1522,Hotel Miramar
632,Spoleto,IT,72.16,clear sky,42.7448,12.7374,Hotel dei Duchi
650,Santiago Del Estero,AR,74.08,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
671,Mareeba,AU,70.52,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
674,Taiobeiras,BR,74.7,clear sky,-15.8078,-42.2331,Dallas Hotel
683,Pakxan,LA,74.34,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
