City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,80.91,80,99,10.85,light rain
1,New Norfolk,AU,-42.7826,147.0587,43.92,87,23,1.01,few clouds
2,Torbay,CA,47.6666,-52.7314,63.37,34,20,6.91,few clouds
3,Albany,US,42.6001,-73.9662,91.67,54,0,5.01,clear sky
4,Lompoc,US,34.6391,-120.4579,76.78,58,0,12.66,clear sky
5,Ushuaia,AR,-54.8,-68.3,42.46,70,0,6.91,clear sky
6,Hermanus,ZA,-34.4187,19.2345,57.74,76,37,5.39,scattered clouds
7,Qaanaaq,GL,77.484,-69.3632,19.78,80,100,2.55,overcast clouds
8,Ponta Do Sol,PT,32.6667,-17.1,70.43,82,22,2.42,few clouds
9,Jamestown,US,42.097,-79.2353,83.84,57,0,12.66,clear sky
10,Rikitea,PF,-23.1203,-134.9692,75.22,74,10,6.8,clear sky
11,Caravelas,BR,-17.7125,-39.2481,75.29,63,2,8.57,clear sky
12,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,80,5.99,broken clouds
13,San Patricio,US,28.017,-97.5169,98.19,51,1,20.15,clear sky
14,Ponta Delgada,PT,37.7333,-25.6667,65.12,100,100,5.75,fog
15,Kitimat,CA,54.0524,-128.6534,65.91,46,1,1.05,clear sky
16,Manaus,BR,-3.1019,-60.025,84.7,65,75,4.61,broken clouds
17,Berdigestyakh,RU,62.0989,126.6992,40.23,78,8,2.01,clear sky
18,Mataura,NZ,-46.1927,168.8643,45.7,96,100,9.8,overcast clouds
19,Yellowknife,CA,62.456,-114.3525,55.92,50,75,10.36,broken clouds
20,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,14.97,clear sky
21,Port Alfred,ZA,-33.5906,26.891,58.98,75,38,3.71,scattered clouds
22,Dikson,RU,73.5069,80.5464,25.74,96,98,7.87,overcast clouds
23,Fairbanks,US,64.8378,-147.7164,68.59,33,0,4.61,clear sky
24,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,0,6.91,clear sky
25,Muros,ES,42.7762,-9.0603,70.68,89,100,4.47,moderate rain
26,Piacabucu,BR,-10.4056,-36.4344,77.61,79,55,14.47,broken clouds
27,Katsuura,JP,35.1333,140.3,61.57,94,100,14.23,overcast clouds
28,Lewiston,US,44.1003,-70.2148,78.04,77,20,4.61,few clouds
29,Ribeira Grande,PT,38.5167,-28.7,64.8,100,100,5.75,light intensity drizzle
30,Lavrentiya,RU,65.5833,-171.0,36.97,91,73,8.01,broken clouds
31,Gat,IL,31.61,34.7642,79.39,100,95,9.51,overcast clouds
32,Gympie,AU,-26.1898,152.665,61.18,98,100,4.43,overcast clouds
33,Tiksi,RU,71.6872,128.8694,24.71,100,100,2.89,overcast clouds
34,Thanatpin,MM,17.2119,96.3033,78.98,95,100,6.62,light rain
35,Lata,PT,40.1629,-8.3327,61.45,92,27,1.36,scattered clouds
36,Flic En Flac,MU,-20.2742,57.3631,75.76,71,0,11.23,clear sky
37,Kapaa,US,22.0752,-159.319,80.58,93,20,6.91,few clouds
38,Wewak,PG,-3.5534,143.6268,77.65,88,81,5.84,broken clouds
39,Palmer,US,42.1584,-72.3287,91.65,53,20,8.05,few clouds
40,Komsomolskiy,UZ,40.4272,71.7189,66.92,68,75,11.5,broken clouds
41,Icatu,BR,-2.7758,-44.0658,86.43,89,97,3.02,light rain
42,Mahebourg,MU,-20.4081,57.7,75.49,73,40,8.05,scattered clouds
43,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,69,100,9.22,overcast clouds
44,Tocopilla,CL,-22.092,-70.1979,68.74,64,96,8.61,overcast clouds
45,Chokurdakh,RU,70.6333,147.9167,33.4,100,100,3.87,overcast clouds
46,Busselton,AU,-33.65,115.3333,59.32,77,0,10.09,clear sky
47,Lumberton,US,34.6182,-79.0086,91.71,41,94,12.19,overcast clouds
48,Nyurba,RU,63.2842,118.3319,46.13,86,97,2.86,overcast clouds
49,Necochea,AR,-38.5473,-58.7368,56.34,67,100,7.87,overcast clouds
50,Kavieng,PG,-2.5744,150.7967,82.06,71,100,11.12,overcast clouds
51,Mar Del Plata,AR,-38.0023,-57.5575,64.42,70,0,8.05,clear sky
52,Kodiak,US,57.79,-152.4072,47.71,76,100,26.46,overcast clouds
53,Bluff,NZ,-46.6,168.3333,50.77,78,100,26.91,overcast clouds
54,Hilo,US,19.7297,-155.09,78.53,76,100,1.99,overcast clouds
55,Makakilo City,US,21.3469,-158.0858,81.01,72,0,8.05,clear sky
56,Cherskiy,RU,68.75,161.3,52.61,51,36,14.67,scattered clouds
57,Niteroi,BR,-22.8833,-43.1036,73.02,70,20,11.5,few clouds
58,Auki,SB,-8.7676,160.7034,76.68,85,9,3.33,clear sky
59,Saskylakh,RU,71.9167,114.0833,27.25,98,93,6.15,overcast clouds
60,Atuona,PF,-9.8,-139.0333,77.86,76,15,11.5,few clouds
61,Stornoway,GB,58.2093,-6.3865,52.03,87,40,16.11,scattered clouds
62,Esperance,AU,-33.8667,121.9,57.04,70,67,12.08,broken clouds
63,Nikolskoye,RU,59.7035,30.7861,48.09,60,4,8.19,clear sky
64,Ostrovnoy,RU,68.0531,39.5131,29.8,75,10,8.1,clear sky
65,Clyde River,CA,70.4692,-68.5914,23.23,86,100,9.22,overcast clouds
66,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,99,10.71,overcast clouds
67,Kruisfontein,ZA,-34.0033,24.7314,53.89,85,4,5.73,clear sky
68,Husavik,IS,66.0449,-17.3389,41.2,98,100,11.18,overcast clouds
69,Krasnoselkup,RU,65.7,82.4667,44.47,76,65,9.42,broken clouds
70,Bredasdorp,ZA,-34.5322,20.0403,53.04,84,9,5.08,clear sky
71,Grand Gaube,MU,-20.0064,57.6608,75.6,77,0,17.87,clear sky
72,Cape Town,ZA,-33.9258,18.4232,58.12,80,0,3.44,clear sky
73,Fomboni,KM,-12.28,43.7425,80.6,70,8,7.23,clear sky
74,Nemuro,JP,43.3236,145.575,48.85,99,100,11.45,overcast clouds
75,Saint George,US,37.1041,-113.5841,77.79,11,0,5.75,clear sky
76,Evensk,RU,61.95,159.2333,38.59,95,100,3.74,overcast clouds
77,North Royalton,US,41.3137,-81.7246,87.19,69,75,11.5,thunderstorm
78,Georgetown,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds
79,Nome,US,64.5011,-165.4064,53.17,50,0,18.41,clear sky
80,Alice Springs,AU,-23.7,133.8833,40.55,65,6,0.0,clear sky
81,Leningradskiy,RU,69.3833,178.4167,32.74,97,97,9.98,overcast clouds
82,Khatanga,RU,71.9667,102.5,35.06,98,99,5.57,overcast clouds
83,Ahuimanu,US,21.4447,-157.8378,82.2,75,75,8.05,broken clouds
84,Vaini,TO,-21.2,-175.2,71.76,94,75,4.61,broken clouds
85,Lisakovsk,KZ,52.5369,62.4936,45.95,72,100,6.82,overcast clouds
86,Askino,RU,56.0901,56.5783,37.17,82,100,5.41,overcast clouds
87,Avarua,CK,-21.2078,-159.775,77.05,78,40,2.3,scattered clouds
88,Kralendijk,BQ,12.15,-68.2667,85.98,66,75,18.41,broken clouds
89,Yenagoa,NG,4.9247,6.2642,75.76,94,100,4.03,overcast clouds
90,Sergeyevka,KZ,53.88,67.4158,49.64,86,100,15.82,moderate rain
